"Inconsistent nullness check","The result value of a function is often checked for nullness, but not always. Since the value is mostly checked, it is likely that the function can return null values in some cases, and omitting the check could crash the program.","error","The result of this call to calloc is not checked for null, but 79% of calls to calloc check for null.","/libcutils/record_stream.cpp","52","27","52","32"
"Inconsistent nullness check","The result value of a function is often checked for nullness, but not always. Since the value is mostly checked, it is likely that the function can return null values in some cases, and omitting the check could crash the program.","error","The result of this call to calloc is not checked for null, but 79% of calls to calloc check for null.","/libsparse/backed_block.cpp","114","44","114","49"
"Inconsistent nullness check","The result value of a function is often checked for nullness, but not always. Since the value is mostly checked, it is likely that the function can return null values in some cases, and omitting the check could crash the program.","error","The result of this call to calloc is not checked for null, but 79% of calls to calloc check for null.","/libusbhost/usbhost.c","372","33","372","38"
"Inconsistent nullness check","The result value of a function is often checked for nullness, but not always. Since the value is mostly checked, it is likely that the function can return null values in some cases, and omitting the check could crash the program.","error","The result of this call to alloc is not checked for null, but 81% of calls to alloc check for null.
The result of this call to alloc is not checked for null, but 90% of calls to alloc check for null.","/libutils/String16.cpp","36","25","36","43"
"Inconsistent nullness check","The result value of a function is often checked for nullness, but not always. Since the value is mostly checked, it is likely that the function can return null values in some cases, and omitting the check could crash the program.","error","The result of this call to alloc is not checked for null, but 81% of calls to alloc check for null.","/libutils/String8.cpp","45","29","45","47"
"Unsafe array for days of the year","An array of 365 items typically indicates one entry per day of the year, but without considering leap years, which would be 366 days. An access on a leap year could result in buffer overflow bugs.","warning","There is an array allocation with a hard-coded set of 365 elements, which may indicate the number of days in a year without considering leap year scenarios.","/fs_mgr/liblp/writer.cpp","328","19","328","37"
"Non-virtual destructor","When a class and its derived class both define non-virtual destructors, the destructor of the derived class may not always be called.","warning","This destructor should probably be virtual.","/libutils/include/utils/RefBase.h","232","5","232","21"
"Non-virtual destructor","When a class and its derived class both define non-virtual destructors, the destructor of the derived class may not always be called.","warning","This destructor should probably be virtual.","/libutils/include/utils/String16.h","53","33","53","41"
"Non-virtual destructor","When a class and its derived class both define non-virtual destructors, the destructor of the derived class may not always be called.","warning","This destructor should probably be virtual.","/libutils/String16.cpp","124","1","124","19"
"Non-virtual destructor","When a class and its derived class both define non-virtual destructors, the destructor of the derived class may not always be called.","warning","This destructor should probably be virtual.","/libutils/include/utils/LightRefBase.h","51","12","51","12"
"Non-virtual destructor","When a class and its derived class both define non-virtual destructors, the destructor of the derived class may not always be called.","warning","This destructor should probably be virtual.","/libutils/include/utils/KeyedVector.h","36","7","36","7"
"Non-virtual destructor","When a class and its derived class both define non-virtual destructors, the destructor of the derived class may not always be called.","warning","This destructor should probably be virtual.","/libutils/include/utils/KeyedVector.h","108","7","108","7"
"Non-virtual destructor","When a class and its derived class both define non-virtual destructors, the destructor of the derived class may not always be called.","warning","This destructor should probably be virtual.","/libutils/include/utils/Singleton.h","67","5","67","5"
"Non-virtual destructor","When a class and its derived class both define non-virtual destructors, the destructor of the derived class may not always be called.","warning","This destructor should probably be virtual.","/init/devices.h","37","7","37","7"
"Non-virtual destructor","When a class and its derived class both define non-virtual destructors, the destructor of the derived class may not always be called.","warning","This destructor should probably be virtual.","/libappfuse/include/libappfuse/EpollController.h","30","7","30","7"
"Wrong type of arguments to formatting function","Calling a printf-like function with the wrong type of arguments causes unpredictable behavior.","error","This argument should be of type 'int' but is of type 'long'","/cpio/mkbootfs.c","252","56","252","62"
"Wrong type of arguments to formatting function","Calling a printf-like function with the wrong type of arguments causes unpredictable behavior.","error","This argument should be of type 'int' but is of type 'long'","/cpio/mkbootfs.c","255","43","255","49"
"Potentially overflowing call to snprintf","Using the return value from snprintf without proper checks can cause overflow.","warning","The [[""size argument""|""relative:///libnetutils/dhcpclient.c:243:28:243:39""]] of this snprintf call is derived from its return value, which may exceed the size of the buffer and overflow.","/libnetutils/dhcpclient.c","243","15","243","22"
"Non-constant format string","Passing a non-constant 'format' string to a printf-like function can lead to a mismatch between the number of arguments defined by the 'format' and the number of arguments actually passed to the function. If the format string ultimately stems from an untrusted source, this can be used for exploits.","recommendation","The format string argument to dprintf should be constant to prevent security issues and other potential errors.","/libutils/Printer.cpp","119","18","119","30"
"Non-zero value cast to pointer","A constant value other than zero is converted to a pointer type. This is a dangerous practice, since the meaning of the numerical value of pointers is platform dependent.","recommendation","Nonzero value m_ptr cast to pointer.","/libutils/include/utils/StrongPointer.h","224","23","224","27"
"Non-zero value cast to pointer","A constant value other than zero is converted to a pointer type. This is a dangerous practice, since the meaning of the numerical value of pointers is platform dependent.","recommendation","Nonzero value m_ptr cast to pointer.","/libutils/include/utils/RefBase.h","526","19","526","23"
"Non-zero value cast to pointer","A constant value other than zero is converted to a pointer type. This is a dangerous practice, since the meaning of the numerical value of pointers is platform dependent.","recommendation","Nonzero value data cast to pointer.","/libutils/include/utils/String16.h","178","69","178","72"
"Non-zero value cast to pointer","A constant value other than zero is converted to a pointer type. This is a dangerous practice, since the meaning of the numerical value of pointers is platform dependent.","recommendation","Nonzero value m_ptr cast to pointer.","/libutils/include/utils/RefBase.h","500","19","500","23"
"Non-zero value cast to pointer","A constant value other than zero is converted to a pointer type. This is a dangerous practice, since the meaning of the numerical value of pointers is platform dependent.","recommendation","Nonzero value m_ptr cast to pointer.","/libutils/include/utils/StrongPointer.h","231","23","231","27"
"Non-zero value cast to pointer","A constant value other than zero is converted to a pointer type. This is a dangerous practice, since the meaning of the numerical value of pointers is platform dependent.","recommendation","Nonzero value m_ptr cast to pointer.","/libutils/include/utils/StrongPointer.h","279","23","279","27"
"Non-zero value cast to pointer","A constant value other than zero is converted to a pointer type. This is a dangerous practice, since the meaning of the numerical value of pointers is platform dependent.","recommendation","Nonzero value m_ptr cast to pointer.","/libutils/include/utils/RefBase.h","565","23","565","27"
"Non-zero value cast to pointer","A constant value other than zero is converted to a pointer type. This is a dangerous practice, since the meaning of the numerical value of pointers is platform dependent.","recommendation","Nonzero value m_ptr cast to pointer.","/libutils/include/utils/RefBase.h","514","19","514","23"
